day,reference_date,stop_id,stop,municipality,eligible_center,available_boarding_in_game,exclusion_reasons,scheduled_routes,departures,first_departure,last_departure,max_gap_minutes,latitude,longitude
sunday,2026-10-04,16,1003 W Aaron Dr near SC Collective,Ferguson township,True,True,,NV,16,10:15,17:45,30,40.802631,-77.898163
sunday,2026-10-04,371,1015 S Pugh St,State College borough,True,True,,RP,13,10:31,17:31,35,40.78894,-77.8492
sunday,2026-10-04,294,1445 W College Ave,Ferguson township,True,True,,NV,16,10:03,17:33,30,40.78304,-77.87624
sunday,2026-10-04,482,1471 Martin St at Weis,Ferguson township,True,True,,NV,16,10:13,17:43,30,40.8042176664,-77.8906452712
sunday,2026-10-04,484,1521 Martin St at Northland Bowl,Ferguson township,True,True,,NV,16,10:13,17:43,30,40.8052065749,-77.8921375423
sunday,2026-10-04,412,712 Southgate Dr,State College borough,True,True,,RP,13,10:25,17:25,35,40.775255,-77.858415
sunday,2026-10-04,15,801 W Aaron Dr at Park Forest Apartments,Ferguson township,True,True,,NV,16,10:14,17:44,30,40.804315,-77.895921
sunday,2026-10-04,370,909 S Pugh St,State College borough,True,True,,RP,13,10:31,17:31,35,40.79,-77.85039
sunday,2026-10-04,361,Beaver Ave at Schlow Library/CATA Office,State College borough,True,True,,"CC, WL",62,10:00,17:48,20,40.793662,-77.859912
sunday,2026-10-04,53,Bigler Rd at Computer Building,State College borough,True,True,,NV,16,10:16,17:46,30,40.803905,-77.860947
sunday,2026-10-04,159,Bigler Rd at Nittany Community Center,State College borough,True,True,,BL,16,10:04,17:34,30,40.80259,-77.85712
sunday,2026-10-04,358,Burrowes Rd at Rec Hall,State College borough,True,True,,WL,37,10:01,17:49,24,40.79596,-77.8683
sunday,2026-10-04,359,Burrowes Road at Westgate Building,State College borough,True,True,,WL,37,10:02,17:50,24,40.79422,-77.86604
sunday,2026-10-04,287,Curtin Rd at Bryce Jordan Center,College township,True,True,,BL,16,10:24,17:54,30,40.81014,-77.85581
sunday,2026-10-04,148,Curtin Rd at McCoy Natatorium,State College borough,True,True,,BL,16,10:22,17:52,30,40.80519,-77.86056
sunday,2026-10-04,51,Curtin Rd at Pavilion Theatre,State College borough,True,True,,BL,16,10:19,17:49,30,40.80088,-77.86465
sunday,2026-10-04,149,Curtin Rd at Shields Building,College township,True,True,,BL,16,10:24,17:54,30,40.80713,-77.85871
sunday,2026-10-04,355,Curtin Rd at Stadium West Parking Lot,College township,True,True,,NV,16,10:12,17:42,30,40.81015,-77.85595
sunday,2026-10-04,356,Curtin Rd at Visual Arts Building,State College borough,True,True,,WL,37,10:22,17:58,24,40.80094,-77.86477
sunday,2026-10-04,154,Curtin Rd at the Intramural Building,College township,True,True,,"NV, WL",45,10:14,17:56,24,40.807,-77.859
sunday,2026-10-04,565,E Beaver Ave at Beaver Hill Apts,State College borough,True,True,,"CC, WL",53,10:11,17:49,24,40.796288,-77.856394
sunday,2026-10-04,564,E Beaver Ave at Calder Commons,State College borough,True,True,,"CC, WL",53,10:11,17:50,24,40.79886,-77.85297
sunday,2026-10-04,52,E College Ave at Atherton Hall,State College borough,True,True,,"BL, CC, NV",48,10:07,17:52,15,40.797195,-77.858063
sunday,2026-10-04,171,E College Ave at Hampton Inn,College township,True,True,,CC,16,10:19,17:49,30,40.80626,-77.84061
sunday,2026-10-04,1,E. College Ave at S. Allen Street,State College borough,True,True,,"BL, CC, NV, RP",87,10:00,17:53,12,40.794559,-77.861549
sunday,2026-10-04,155,East Halls at Curtin Hall,State College borough,True,True,,"NV, WL",45,10:15,17:57,24,40.80513,-77.86076
sunday,2026-10-04,283,Hastings Rd at Forest Research Lab,State College borough,True,True,,BL,16,10:02,17:32,30,40.80509,-77.85108
sunday,2026-10-04,282,Hastings Rd at Lot 43 East,College township,True,True,,BL,16,10:01,17:31,30,40.80769,-77.8486
sunday,2026-10-04,5,Hastings Rd at University Drive,State College borough,True,True,,BL,16,10:03,17:33,30,40.804695,-77.85278
sunday,2026-10-04,478,Martin St at Park Crest Lane Outbound,Ferguson township,True,True,,NV,16,10:12,17:42,30,40.8019770639,-77.8871271638
sunday,2026-10-04,521,N Atherton Pl at McDonalds,Patton township,True,True,,NV,16,10:20,17:50,30,40.808894,-77.896201
