day,reference_date,stop_id,stop,municipality,eligible_center,available_boarding_in_game,exclusion_reasons,scheduled_routes,departures,first_departure,last_departure,max_gap_minutes,latitude,longitude
saturday,2026-10-03,16,1003 W Aaron Dr near SC Collective,Ferguson township,True,True,,N,15,10:01,17:29,33,40.802631,-77.898163
saturday,2026-10-03,372,1006 S Pugh St,State College borough,True,True,,AC,16,10:04,17:34,30,40.788983,-77.849408
saturday,2026-10-03,371,1015 S Pugh St,State College borough,True,True,,AC,16,10:22,17:52,30,40.78894,-77.8492
saturday,2026-10-03,39,1100 W Aaron Dr at SC Collective,Ferguson township,True,True,,N,15,10:28,17:55,33,40.80188,-77.898979
saturday,2026-10-03,375,1218 S Allen St,State College borough,True,True,,AC,16,10:06,17:36,30,40.7855,-77.8488
saturday,2026-10-03,46,1224 N Atherton St - Discovery Space,Ferguson township,True,True,,"AC, N, V, W",53,10:02,17:48,29,40.802467,-77.882167
saturday,2026-10-03,379,1306 S Atherton St,State College borough,True,True,,AC,16,10:07,17:37,30,40.78435,-77.84432
saturday,2026-10-03,479,1400 Martin St at Parkcrest Terrace,Ferguson township,True,True,,N,15,10:30,17:57,33,40.802948,-77.888809
saturday,2026-10-03,523,1450 N Atherton St at Hoss,Ferguson township,True,True,,"AC, V",31,10:03,17:46,30,40.806141,-77.889069
saturday,2026-10-03,482,1471 Martin St at Weis,Ferguson township,True,True,,N,15,10:31,17:59,33,40.8042176664,-77.8906452712
saturday,2026-10-03,484,1521 Martin St at Northland Bowl,Ferguson township,True,True,,N,15,10:31,17:59,33,40.8052065749,-77.8921375423
saturday,2026-10-03,498,1870 North Atherton Street,Patton township,True,True,,"AC, H, N",43,10:02,17:51,30,40.8089272498,-77.9040936651
saturday,2026-10-03,364,240 S Pugh St (oLiv Highland),State College borough,True,True,,AC,16,10:02,17:32,30,40.79357,-77.85781
saturday,2026-10-03,715,545 Oakwood Ave at SC Collective Oakwood,Patton township,True,True,,V,15,10:24,17:52,35,40.81736,-77.88919
saturday,2026-10-03,502,658 Oakwood Ave,Patton township,True,True,,V,15,10:09,17:38,35,40.81908,-77.88955
saturday,2026-10-03,412,712 Southgate Dr,State College borough,True,True,,R,15,10:02,17:51,42,40.775255,-77.858415
saturday,2026-10-03,40,720 W Aaron Dr at Aaron Village,Ferguson township,True,True,,N,15,10:28,17:55,33,40.804222,-77.895844
saturday,2026-10-03,15,801 W Aaron Dr at Park Forest Apartments,Ferguson township,True,True,,N,15,10:00,17:28,33,40.804315,-77.895921
saturday,2026-10-03,399,805 S Atherton St,State College borough,True,True,,R,15,10:09,17:58,42,40.78604,-77.855255
saturday,2026-10-03,370,909 S Pugh St,State College borough,True,True,,AC,16,10:23,17:53,30,40.79,-77.85039
saturday,2026-10-03,709,972 Oakwood Ave,Patton township,True,True,,V,15,10:10,17:39,35,40.818123,-77.896378
saturday,2026-10-03,280,Athletic Administration Building,College township,True,True,,H,12,10:21,17:41,40,40.81384,-77.85526
saturday,2026-10-03,361,Beaver Ave at Schlow Library/CATA Office,State College borough,True,True,,"AC, CC, WL",99,10:01,17:52,12,40.793662,-77.859912
saturday,2026-10-03,53,Bigler Rd at Computer Building,State College borough,True,True,,"H, N, R, V, W",60,10:11,17:58,25,40.803905,-77.860947
saturday,2026-10-03,159,Bigler Rd at Nittany Community Center,State College borough,True,True,,BL,22,10:04,17:49,30,40.80259,-77.85712
