day,reference_date,stop_id,stop,municipality,eligible_center,available_boarding_in_game,exclusion_reasons,scheduled_routes,departures,first_departure,last_departure,max_gap_minutes,latitude,longitude
saturday,2026-10-03,110,1001 University Dr,State College borough,False,False,No scheduled boarding in this day's reference window.,,0,,,,40.79707,-77.84353
saturday,2026-10-03,725,123 Rolling Ridge Dr,College township,False,False,Stop is outside the game border.; No scheduled boarding in this day's reference window.,,0,,,,40.78603,-77.82922
saturday,2026-10-03,720,1245 S Atherton St (Happy Vly Motor Inn),State College borough,False,False,No scheduled boarding in this day's reference window.,,0,,,,40.78454,-77.84717
saturday,2026-10-03,624,1290 Circleville Rd,Ferguson township,False,False,Stop is outside the game border.; No scheduled boarding in this day's reference window.,,0,,,,40.796614,-77.891114
saturday,2026-10-03,625,1381 Circleville Road,Ferguson township,False,False,The full 400 m circle crosses the game border.; No scheduled boarding in this day's reference window.,,0,,,,40.796605,-77.89153
saturday,2026-10-03,295,1400 W College Ave,Ferguson township,False,False,No scheduled boarding in this day's reference window.,,0,,,,40.78305,-77.876
saturday,2026-10-03,294,1445 W College Ave,Ferguson township,False,False,No scheduled boarding in this day's reference window.,,0,,,,40.78304,-77.87624
saturday,2026-10-03,297,1506 W College Ave,Ferguson township,False,False,The full 400 m circle crosses the game border.; No scheduled boarding in this day's reference window.,,0,,,,40.78138,-77.87795
saturday,2026-10-03,722,1550 S Atherton St (Courtyd by Marriott),State College borough,False,False,The full 400 m circle crosses the game border.; No scheduled boarding in this day's reference window.,,0,,,,40.78512,-77.83755
saturday,2026-10-03,849,1610 West College Ave (Waffle Shop),Ferguson township,False,False,The full 400 m circle crosses the game border.; No scheduled boarding in this day's reference window.,,0,,,,40.78005,-77.879478
saturday,2026-10-03,348,200 Elmwood St,College township,False,False,The full 400 m circle crosses the game border.; No scheduled boarding in this day's reference window.,,0,,,,40.8103,-77.828735
saturday,2026-10-03,349,201 Elmwood St,College township,False,False,Stop is outside the game border.; No scheduled boarding in this day's reference window.,,0,,,,40.810395,-77.828365
saturday,2026-10-03,719,234 Easterly Pkwy (Easterly Pkwy Elem),State College borough,False,False,No scheduled boarding in this day's reference window.,,0,,,,40.78909,-77.84795
saturday,2026-10-03,254,240 Toftrees Ave (Turtle Creek Apts),Patton township,False,True,The full 400 m circle crosses the game border.,H,12,10:20,17:40,40,40.82294,-77.89859
saturday,2026-10-03,328,2601 E College Ave,College township,False,False,Stop is outside the game border.,CC,18,10:16,17:55,27,40.82755,-77.8075
saturday,2026-10-03,552,300 Science Park Rd (PSU Tech Support),Ferguson township,False,False,Stop is outside the game border.; No scheduled boarding in this day's reference window.,,0,,,,40.775885,-77.89383
saturday,2026-10-03,551,301 Science Park Rd (ARL West IV),Ferguson township,False,False,Stop is outside the game border.; No scheduled boarding in this day's reference window.,,0,,,,40.77604,-77.89375
saturday,2026-10-03,255,301 Toftrees Ave,Patton township,False,False,Stop is outside the game border.,H,12,10:35,17:55,40,40.82333,-77.89657
saturday,2026-10-03,768,3054 Enterprise Drive,Ferguson township,False,False,Stop is outside the game border.; No scheduled boarding in this day's reference window.,,0,,,,40.764853,-77.880884
